date,time,code,result,product,FORCE_POS_1,FORCE_POS_2,z_score_pos1
2025-01-17,11:10:00,302693.07/250117-110938,NOK POS 1 POS 2,G250117-111006,0.1,0.0,-18.330519923475304
2025-01-17,11:11:50,302693.07/250117-110938,NOK POS 1 POS 2,G250117-111147,0.0,0.0,-18.36660507096432
2025-01-17,11:22:15,302693.07/250117-112152,NOK POS 1 POS 2,G250117-112222,0.1,0.0,-18.330519923475304
2025-01-17,11:23:52,302693.07/250117-112325,NOK POS 1 POS 2,G250117-112359,0.2,0.1,-18.29443477598629
2025-01-17,11:27:02,302693.07/250117-112647,NOK POS 1 POS 2,G250117-112709,0.1,0.0,-18.330519923475304
2025-01-17,11:42:43,302693.07/250117-114228,NOK POS 1 POS 2,G250117-114250,0.2,0.0,-18.29443477598629
2025-01-17,11:47:07,302693.07/250117-114648,NOK POS 1 POS 2,G250117-114714,0.2,0.0,-18.29443477598629
2025-01-17,12:00:25,302693.07/250117-120000,NOK POS 1 POS 2,G250117-120032,0.2,0.0,-18.29443477598629
2025-01-17,12:08:32,302693.07/250117-120808,NOK POS 1 POS 2,G250117-120839,0.1,0.0,-18.330519923475304
2025-01-17,12:11:23,302693.07/250117-121049,NOK POS 1 POS 2,G250117-121130,0.2,0.0,-18.29443477598629
2025-01-17,12:18:32,302693.07/250117-121808,NOK POS 1 POS 2,G250117-121839,0.0,0.0,-18.36660507096432
2025-01-17,12:24:59,302693.07/250117-122436,NOK POS 1 POS 2,G250117-122506,0.3,0.0,-18.258349628497278
2025-01-17,14:15:43,302693.07/250117-141519,NOK POS 1 POS 2,G250117-141550,0.0,0.0,-18.36660507096432
2025-01-17,14:24:02,302693.07/250117-142346,NOK POS 1 POS 2,G250117-142409,0.1,0.0,-18.330519923475304
2025-01-17,14:28:10,302693.07/250117-142739,NOK POS 1 POS 2,G250117-142817,0.2,0.0,-18.29443477598629
2025-01-17,14:46:51,302693.07/250117-144634,NOK POS 1 POS 2,G250117-144658,0.0,0.0,-18.36660507096432
2025-01-17,16:21:06,302693.07/250117-162031,NOK POS 1 POS 2,G250117-162113,0.1,0.0,-18.330519923475304
2025-01-17,16:24:19,302693.07/250117-162352,NOK POS 1 POS 2,G250117-162426,0.3,0.0,-18.258349628497278
2025-01-17,19:05:33,302693.07/250117-190517,NOK POS 1 POS 2,G250117-190541,0.2,0.0,-18.29443477598629
2025-01-17,19:31:36,302693.07/250117-193122,NOK POS 1 POS 2,G250117-193144,0.1,0.0,-18.330519923475304
2025-01-17,20:13:44,302693.07/250117-201317,NOK POS 1 POS 2,G250117-201351,0.2,0.0,-18.29443477598629
2025-01-17,20:48:34,302693.07/250117-204818,NOK POS 1 POS 2,G250117-204841,0.0,0.0,-18.36660507096432
2025-01-17,20:50:02,302693.07/250117-204933,NOK POS 1 POS 2,G250117-205010,0.1,0.0,-18.330519923475304
2025-01-17,20:58:26,302693.07/250117-205810,NOK POS 1 POS 2,G250117-205834,0.0,0.0,-18.36660507096432
2025-01-17,21:10:45,302693.07/250117-211020,NOK POS 1 POS 2,G250117-211052,0.1,0.0,-18.330519923475304
2025-01-17,21:14:24,302693.07/250117-211407,NOK POS 1 POS 2,G250117-211431,0.2,0.0,-18.29443477598629
2025-01-17,21:17:29,302693.07/250117-211709,NOK POS 1 POS 2,G250117-211736,0.2,0.0,-18.29443477598629
2025-01-17,21:43:10,302693.07/250117-214255,NOK POS 1 POS 2,G250117-214318,0.0,0.0,-18.36660507096432
2025-01-21,09:28:20,302693.07/250121-092748,NOK POS 1 POS 2,G250121-092822,0.1,0.0,-18.330519923475304
2025-01-21,10:37:30,302693.07/250121-103657,NOK POS 1 POS 2,G250121-103731,0.1,0.0,-18.330519923475304
2025-01-21,11:43:31,302693.07/250121-114301,NOK POS 1 POS 2,G250121-114332,0.1,0.0,-18.330519923475304
2025-01-21,12:25:12,302693.07/250121-122439,NOK POS 1 POS 2,G250121-122514,0.1,0.0,-18.330519923475304
2025-01-21,15:17:08,302693.07/250121-151645,NOK POS 1 POS 2,G250121-151710,0.1,0.0,-18.330519923475304
2025-01-21,20:39:55,302693.07/250121-203907,NOK POS 1 POS 2,G250121-203957,0.1,0.0,-18.330519923475304
2025-01-22,00:20:13,302693.07/250121-001833,NOK POS 1 POS 2,G250121-002015,67.4,80.9,5.954784336631022
2025-01-22,02:07:01,302693.07/250121-020206,NOK POS 1 POS 2,G250121-020704,0.1,0.0,-18.330519923475304
2025-01-22,04:11:59,302693.07/250121-041012,NOK POS 1 POS 2,G250121-041202,0.0,0.0,-18.36660507096432
2025-01-22,04:43:57,302693.07/250121-044315,NOK POS 1 POS 2,G250121-044359,0.0,0.0,-18.36660507096432
